place_as_recorded,authorized_label,structured_value
Austria,Austria,http://vocab.getty.edu/tgn/1000062
Austria or Hungary,Austria;Hungary,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278
Barga,Barga,http://vocab.getty.edu/tgn/7006242
Bavaria,Bavaria,http://vocab.getty.edu/tgn/7003669
Catalonia,Catalonia,http://vocab.getty.edu/tgn/7030216
China,China,http://vocab.getty.edu/tgn/1000111
"Deccan, India",Deccan;India,http://vocab.getty.edu/tgn/7001693;http://vocab.getty.edu/tgn/7000198
Egypt,Egypt,http://vocab.getty.edu/tgn/7016833
England,England,http://vocab.getty.edu/tgn/7002445
England and Spain,England;Spain,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000095
"Florence, Italy",Florence;Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080
France,France,http://vocab.getty.edu/tgn/1000070
France or Flanders,France;Flanders,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024097
Germany,Germany,http://vocab.getty.edu/tgn/7000084
Granada,Granada,http://vocab.getty.edu/tgn/7007703
India,India,http://vocab.getty.edu/tgn/7000198
India?,India,http://vocab.getty.edu/tgn/7000198
Iran,Iran,http://vocab.getty.edu/tgn/7000231
Iran?,Iran,http://vocab.getty.edu/tgn/7000231
Italy,Italy,http://vocab.getty.edu/tgn/1000080
Malta,Malta,http://vocab.getty.edu/tgn/7005729
Morocco,Morocco,http://vocab.getty.edu/tgn/1000179
Nola,Nola,http://vocab.getty.edu/tgn/7004644
North Africa,North Africa,http://vocab.getty.edu/tgn/7016886
North Africa?,North Africa,http://vocab.getty.edu/tgn/7016886
"Padua?, Italy",Padua;Italy,http://vocab.getty.edu/tgn/7003085;http://vocab.getty.edu/tgn/1000080
Paris,Paris,http://vocab.getty.edu/tgn/7008038
"Paris, France",Paris;France,http://vocab.getty.edu/tgn/7008038;http://vocab.getty.edu/tgn/1000070
"Paris?, France",Paris;France,http://vocab.getty.edu/tgn/7008038;http://vocab.getty.edu/tgn/1000070
Persia,Persia,http://vocab.getty.edu/tgn/7024079
Prague,Prague,http://vocab.getty.edu/tgn/7006464
Provence or Spain,Provence;Spain,http://vocab.getty.edu/tgn/7012209;http://vocab.getty.edu/tgn/1000095
Rome,Rome,http://vocab.getty.edu/tgn/7000874
"Rome?, Italy",Rome;Italy,http://vocab.getty.edu/tgn/7000874;http://vocab.getty.edu/tgn/1000080
Spain,Spain,http://vocab.getty.edu/tgn/1000095
Syria,Syria,http://vocab.getty.edu/tgn/1000140
"Šibenik, Croatia",Šibenik;Croatia,http://vocab.getty.edu/tgn/7015447;http://vocab.getty.edu/tgn/7006663
Turkey,Turkey,http://vocab.getty.edu/tgn/1000144
Upper Saxony,Obersachsen,http://vocab.getty.edu/tgn/7114973
"Verona?, Italy",Verona;Italy,http://vocab.getty.edu/tgn/7003262;http://vocab.getty.edu/tgn/1000080
