subject_as_recorded,source_authority_uri,authorized_label,structured_value
Abbots--Early works to 1800,"",Abbots;Early works,http://id.worldcat.org/fast/794221;http://id.worldcat.org/fast/1411636
Accounting--France--14th century,"",Accounting;France;Fourteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420
Advaita,"",Advaita,http://id.worldcat.org/fast/797410
Advaita--Early works to 1800,"",Advaita;Early works,http://id.worldcat.org/fast/797410;http://id.worldcat.org/fast/1411636
Agriculture--Early works to 1800,"",Agriculture;Early works,http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/1411636
Alchemy--Early works to 1800,"",Alchemy;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1411636
Animal culture,"",Animal culture,http://id.worldcat.org/fast/809131
Animal culture--Early works to 1800,"",Animal culture;Early works,http://id.worldcat.org/fast/809131;http://id.worldcat.org/fast/1411636
Aqueducts--Italy--Rome--Early works to 1800,"",Aqueducts;Italy;Italy--Rome;Early works,http://id.worldcat.org/fast/812149;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1204500;http://id.worldcat.org/fast/1411636
Arab logic--Early works to 1800,"",Arab logic;Early works,http://id.worldcat.org/fast/1748003;http://id.worldcat.org/fast/1411636
Arabic language--Dictionaries--Turkish,"",Arabic language;Dictionaries;Turkish language,http://id.worldcat.org/fast/812287;http://id.worldcat.org/fast/1423826;http://id.worldcat.org/fast/1159411
Arabic language--Grammar,"",Arabic language--Grammar,http://id.worldcat.org/fast/812341
Arabic language--Grammar--Early works to 1800,"",Arabic language--Grammar;Early works,http://id.worldcat.org/fast/812341;http://id.worldcat.org/fast/1411636
Arabic language--Versification--Early works to 1800,"",Arabic language--Versification;Early works,http://id.worldcat.org/fast/812458;http://id.worldcat.org/fast/1411636
Arabic poetry--Early works to 1800,"",Arabic poetry;Early works,http://id.worldcat.org/fast/812533;http://id.worldcat.org/fast/1411636
Arithmetic--Early works to 1900,"",Arithmetic;Early works,http://id.worldcat.org/fast/814484;http://id.worldcat.org/fast/1411636
Artillery--Early works to 1800,"",Artillery;Early works,http://id.worldcat.org/fast/817490;http://id.worldcat.org/fast/1411636
Artillery--History,"",Artillery;History,http://id.worldcat.org/fast/817490;http://id.worldcat.org/fast/1411628
Astrolabes--Early works to 1800,"",Astrolabes;Early works,http://id.worldcat.org/fast/819392;http://id.worldcat.org/fast/1411636
Astrology--Early works to 1800,"",Astrology;Early works,http://id.worldcat.org/fast/819398;http://id.worldcat.org/fast/1411636
"Astronomy, Arab--Early works to 1800","","Astronomy, Arab;Early works",http://id.worldcat.org/fast/819764;http://id.worldcat.org/fast/1411636
"Astronomy, Medieval","","Astronomy, Medieval",http://id.worldcat.org/fast/819781
Astronomy--Early works to 1800,"",Astronomy;Early works,http://id.worldcat.org/fast/819673;http://id.worldcat.org/fast/1411636
Astronomy--Tables,"",Astronomy--Tables,http://id.worldcat.org/fast/819745
Avatars (Religion),"",Avatars (Religion),http://id.worldcat.org/fast/1429828
Bakers--England--Early works to 1800,"",Bakers;England;Early works,http://id.worldcat.org/fast/1431877;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1411636
Barga (Italy)--History,"",Italy--Barga;History,http://id.worldcat.org/fast/1235479;http://id.worldcat.org/fast/1411628
Berber poetry--Morocco--Texts,"",Berber poetry;Morocco;Texts,http://id.worldcat.org/fast/830649;http://id.worldcat.org/fast/1205592;http://id.worldcat.org/fast/1423705
Bishops--Early works to 1800,"",Bishops;Early works,http://id.worldcat.org/fast/833378;http://id.worldcat.org/fast/1411636
Booksellers and bookselling--Early works to 1800,"",Booksellers and bookselling;Early works,http://id.worldcat.org/fast/836492;http://id.worldcat.org/fast/1411636
"Botany, Medical--Early works to 1800","","Botany, Medical;Early works",http://id.worldcat.org/fast/836961;http://id.worldcat.org/fast/1411636
Botany--Pictorial works--Early works to 1800,"",Botany;Pictorial works;Early works,http://id.worldcat.org/fast/836869;http://id.worldcat.org/fast/1423874;http://id.worldcat.org/fast/1411636
Bread--England--Early works to 1800,"",Bread;England;Early works,http://id.worldcat.org/fast/1198482;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1411636
Bridles,"",Bridles,http://id.worldcat.org/fast/838967
Bridles--Early works to 1800,"",Bridles;Early works,http://id.worldcat.org/fast/838967;http://id.worldcat.org/fast/1411636
Cabala--Early works to 1800,"",Cabala;Early works,http://id.worldcat.org/fast/843481;http://id.worldcat.org/fast/1411636
Canon law--Early works to 1800,"",Canon law;Early works,http://id.worldcat.org/fast/845910;http://id.worldcat.org/fast/1411636
Cesena (Italy)--History,"",Italy--Cesena;History,http://id.worldcat.org/fast/1205413;http://id.worldcat.org/fast/1411628
Chess--Early works to 1800,"",Chess;Early works,http://id.worldcat.org/fast/853777;http://id.worldcat.org/fast/1411636
Christian life--Early works to 1800,"",Christian life;Early works,http://id.worldcat.org/fast/859185;http://id.worldcat.org/fast/1411636
Ciphers--Early works to 1800,"",Ciphers;Early works,http://id.worldcat.org/fast/861549;http://id.worldcat.org/fast/1411636
Cisterna di Latina (Italy),"",Italy--Cisterna di Latina,http://id.worldcat.org/fast/1877258
City planning--Italy--Rome--Early works to 1800,"",City planning;Italy;Italy--Rome;Early works,http://id.worldcat.org/fast/862177;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1204500;http://id.worldcat.org/fast/1411636
"Confession--Catholic Church--Handbooks, manuals, etc.--Early works to 1800","",Confession--Catholic Church;Handbooks and manuals;Early works,http://id.worldcat.org/fast/1750863;http://id.worldcat.org/fast/1423877;http://id.worldcat.org/fast/1411636
Cosmography--Early works to 1800,"",Cosmography;Early works,http://id.worldcat.org/fast/880594;http://id.worldcat.org/fast/1411636
Cosmology--Early works to 1800,"",Cosmology;Early works,http://id.worldcat.org/fast/880600;http://id.worldcat.org/fast/1411636
Cryptography--Early works to 1800,"",Cryptography;Early works,http://id.worldcat.org/fast/884552;http://id.worldcat.org/fast/1411636
Divination--Early works to 1800,"",Divination;Early works,http://id.worldcat.org/fast/895747;http://id.worldcat.org/fast/1411636
Divination--Religious aspects--Early works to 1800,"",Divination--Religious aspects;Early works,http://id.worldcat.org/fast/1425083;http://id.worldcat.org/fast/1411636
Divination--Religious aspects--Islam,"",Divination--Religious aspects--Islam,http://id.worldcat.org/fast/895750
