title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
Abridged history of Arab dynasties,"","","",""
Agnihotrahomaprayoga,"अग्निहोत्रहोमप्रयोग,","","",
Algorismus,"","","",
Assise of all manner of breade,"","","",
Basis grammatice,"","","",""
Bhāgavatapurāṇa,بهگوت پوران.,Puranas.,"",
Bhedadhikkāra,"भेदधिक्कार,","","",""
Bisnu Purān,بسن پران.,Puranas.,"",
Bodhāyanacayanaprayoga,"भोधायनचयनप्रयोग,","","",""
Buch von den probierten Kü̈̈nsten,"","","",
Carta executoria de hidalguia a pedimiento,"","","",
Certain astrological and astronomical figures,"","","",
Commentaries on Aristotle and Porphyry,"","","",
Commentary on the Ephemerides of Regiomontanus,"","","",
Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalawāt ʻalá al-nabī al-mukhtār,دلائل الخيرات و شوارق الانوار في ذكر الصلوات على النبي المختار.,Dalāʼil al-khayrāt.,دلائل الخيرات.,
Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār,دلائل الخيرات و شوارق الانوار في ذكر الصلوة على النبي المختار.,Dalāʼil al-khayrāt.,دلائل الخيرات.,
Dalāʼil al-khayrāt... etc,دلائل الخيرات... إلخ.,"","",
De ludo schacchorum seu de moribus hominum et officiis nobilium ... etc,"","","",
De natura rerum,"",De natura rerum.,"",
De simplicibus,"","","",
Devotional book,"","","",
Dhūrtasvāmibhāṣyatīkā,"धूर्तस्वामिभाष्यतीका,","","",""
Expositio in libros Posteriorum Aristotelis,"","","",
Geometria,"","","",
Haft paykar,هفت پيکر.,"","",""
Haza rūznāme-yi Dārendevī,هذا روز نامۀ دارندوى.,"","",""
Hādhā kitāb irshād /,هذا كتاب ارشاد /,"","",""
Ḥall al-ṭilsam wa-kashf al-sirr al-mubham,حل الطلسم وكشف السر المبهم.,"","",""
Ḥāshiyah ʻalá Sharḥ al-Saʻd ʻalá al-ʻAqāʼid al-Nasafīyah,حاشية على شرح السعد على العقائد النسفية.,"","",""
Inshā-yi Mādhava Rāma. Inshā-yi Dilkushā,انشاى مادهو‌ رام. انشاى دلکشا.,Inshā-yi Mādhava Rāma.,"",
Irshād al-sārī,إرشاد الساري.,"","",""
Jihat al-waḥdah,جهة الوحدة.,"","",""
John Elys deed,"","","",""
Kalimāt ʻarabīyah ʻalá tartīb ḥurūf al-tahajjī,كلمات عربية على ترتيب حروف التهجي.,Akhtarī kabīr.,"",
Kanz al-daqāʼiq,كنز الدقائق.,"","",""
Kāfiyat al-ṭālib al-rabbānī li-Risālat Ibn Abī Zayd al-Qayrawānī. Fatḥ al-mannān ʻalá naẓm mawrid al-ẓamʼān,كافية الطالب الرباني لرسالة ابن ابي زيد القيرواني. فتح المنان على نظم مورد الظمآن.,"","",""
Khamsah,خمسه.,Khamsah.,خمسه.,
Kitāb al-Adwār fī al-mūsīqá,كتاب الادوار في الموسيقى.,Adwār,ادوار,
Kitāb al-Majisṭī,كتاب المجسطي.,Almagest.,"",
Kitāb al-Tawākiz al-muḥarrarah wa-al-ḍamāʼir al-mustakhbarah,كتاب التواكز المحررة والضمائر المستخبرة.,"","",""
Kitāb-i Ḥashāyish,کتاب حشايش.,De materia medica.,"",
La generacion de Adam,"","","",
Laghuvākyavṛttiprakāśikā,"लघुवाक्यवृत्तिप्रकाशिका,","","",""
Liber ethimologiarum,"",Etymologiae,"",
Liber metaphisice ; Liber ethicorum,"",Metaphysics,"",
Liber phisicorum sive auditus phisici,"",Physica,"",
Liber ruralium commodorum,"",Ruralia commoda,"",
Litterarum simulationis liber,"","","",
Manhaj al-ʻilm wa-al-bayān wa-nuzhat al-samʻ wa-al-aʻyān,منهج العلم والبيان ونزهة السمع والعيان.,"","",""
Manuscript leaf from De casibus virorum illustrium,"",De casibus virorum illustrium.,"",
Manuscript leaf from Interpretationes Hebraicorum nominum,"",Interpretationes Hebraicorum nominum.,"",
Manuscript leaf from Physics,"",Physics.,"",
"Manuscript leaf from Speculum historiale, Book 29","",Speculum historiale.,"",
Manuscript leaf from Summa de poenitentia et matrimonio,"",Summa de poenitentia et matrimonio.,"",
Manuscript leaf from a collection of papal decretals,"","","",""
Manuscript leaf from expense records,"","","",""
Medical miscellany,"","","",
Miftāḥ al-Falāḥ,مفتاح الفلاح.,"","",""
Munshaʼāt-i Ḥaz̤rat-i Nābī Afandī,منشئات حضرت نابى افندى.,"","",""
