subject_as_recorded,source_authority_uri,authorized_label,structured_value
Aristotle,"",Aristotle,http://id.worldcat.org/fast/29885
Aristotle--Criticism and interpretation--Early works to 1800,"",Aristotle;Criticism and interpretation;Early works,http://id.worldcat.org/fast/29885;http://id.worldcat.org/fast/1198648;http://id.worldcat.org/fast/1411636
Aristotle.--Categoriae,"",Aristotle;Categoriae (Aristotle),http://id.worldcat.org/fast/29885;http://id.worldcat.org/fast/1357313
Aristotle.--De interpretatione,"",Aristotle;De interpretatione (Aristotle),http://id.worldcat.org/fast/29885;http://id.worldcat.org/fast/1359296
Aristotle.--Physics,"",Aristotle;Physics (Aristotle),http://id.worldcat.org/fast/29885;http://id.worldcat.org/fast/1356964
Aristotle.--Physics--Early works to 1800,"",Aristotle;Physics (Aristotle);Early works,http://id.worldcat.org/fast/29885;http://id.worldcat.org/fast/1356964;http://id.worldcat.org/fast/1411636
Aristotle.--Posterior analytics,"",Aristotle;Posterior analytics (Aristotle),http://id.worldcat.org/fast/29885;http://id.worldcat.org/fast/1356595
Aristotle.--Posterior analytics--Early works to 1800,"",Aristotle;Posterior analytics (Aristotle);Early works,http://id.worldcat.org/fast/29885;http://id.worldcat.org/fast/1356595;http://id.worldcat.org/fast/1411636
"Averroës,--1126-1198.--Talkhīs kitāb al-ʻIbārah","","Averroës, 1126-1198",http://id.worldcat.org/fast/69334
"Averroës,--1126-1198.--Talkhīṣ kitāb al-maqūlāt","","Averroës, 1126-1198",http://id.worldcat.org/fast/69334
"Averroës,--1126-1198.--Talkhīṣ madkhal Furfūriyūs","","Averroës, 1126-1198",http://id.worldcat.org/fast/69334
"Bahrām--V,--King of Iran,---438","","Bahrām V, King of Iran, -438",http://id.worldcat.org/fast/1806223
Bādarāyaṇa.--Brahmasūtra,"",Bādarāyaṇa;Brahmasūtra (Bādarāyaṇa),http://id.worldcat.org/fast/64248;http://id.worldcat.org/fast/1357925
"Beeleye, John de","","",""
"Beeleye, Margery de","","",""
"Bukhārī, Muḥammad ibn Ismāʻīl,--810-870.--Jāmiʻ al-ṣaḥīḥ","","Bukhārī, Muḥammad ibn Ismāʻīl, 810-870;Jāmiʻ al-ṣaḥīḥ (Bukhārī, Muḥammad ibn Ismāʻīl)",http://id.worldcat.org/fast/72911;http://id.worldcat.org/fast/1362378
Catholic Church--Liturgy--Calendar--Early works to 1800,"",Catholic Church;Liturgics;Calendar;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/844160;http://id.worldcat.org/fast/1411636
"Cuenca, Alonso Gaytan de","","",""
"Cuenca, Francisco Gaytan de","","",""
"Cuenca, Juan Gaytan de","","",""
Dhūrtasvāmī.--Āpastambaśrautasūtra dhūtasvāmibhāṣya,"","",""
Dominicans--In art,"",Dominicans;Art,http://id.worldcat.org/fast/533548;http://id.worldcat.org/fast/815177
"Dulaert, Johannes","","",""
"Elys, John","","",""
"Fanārī, Muḥammad ibn Ḥamzah,--1350 or 1351-1430 or 1431.--Fawāʼid al-Fanārīyah","","Fanārī, Muḥammad ibn Ḥamzah, 1350 or 1351-1430 or 1431",http://id.worldcat.org/fast/1817979
"Garcia y la Puente, Johan","","",""
"Ibn Abī Zayd al-Qayrawānī, ʻAbd Allāh ibn ʻAbd al-Raḥmān,--active 10th century.--Risālah","","Ibn Abī Zayd al-Qayrawānī, ʻAbd Allāh ibn ʻAbd al-Raḥmān, active 10th century;Risālah (Ibn Abī Zayd al-Qayrawānī, ʻAbd Allāh ibn ʻAbd al-Raḥmān)",http://id.worldcat.org/fast/1825331;http://id.worldcat.org/fast/1376274
"Ibn Mālik, Muḥammad ibn ʻAbd Allāh,---1274.--Alfīyah","","Ibn Mālik, Muḥammad ibn ʻAbd Allāh, -1274;Alfīyah (Ibn Mālik, Muḥammad ibn ʻAbd Allāh)",http://id.worldcat.org/fast/1825501;http://id.worldcat.org/fast/1360506
"James,--the Greater, Saint--Art","","James, the Greater, Saint;Art",http://id.worldcat.org/fast/48588;http://id.worldcat.org/fast/815177
Jesus Christ--Art,"",Jesus Christ;Art,http://id.worldcat.org/fast/40116;http://id.worldcat.org/fast/815177
"Khalīl ibn Isḥāq al-Jundī,---1365?--Mukhtaṣar","","Khalīl ibn Isḥāq al-Jundī, -1365?;Mukhtaṣar (Khalīl ibn Isḥāq al-Jundī)",http://id.worldcat.org/fast/1828571;http://id.worldcat.org/fast/1363458
"Kharrāz, Muḥammad ibn Muḥammad,---1318 or 1319.--Mawrid al-ẓamʼān","","Mawrid al-ẓamʼān (Kharrāz, Muḥammad ibn Muḥammad)",http://id.worldcat.org/fast/1915240
"Lefèvre d'Étaples, Jacques,--d. 1536","","Lefèvre d'Étaples, Jacques, -1536",http://id.worldcat.org/fast/1830400
"Martini, Luca","","",""
"Mary,--Blessed Virgin, Saint--Annunciation--Art","","Mary, Blessed Virgin, Saint;Annunciation to the Blessed Virgin Mary;Art",http://id.worldcat.org/fast/68107;http://id.worldcat.org/fast/1351679;http://id.worldcat.org/fast/815177
"Mary,--Blessed Virgin, Saint--Art","","Mary, Blessed Virgin, Saint;Art",http://id.worldcat.org/fast/68107;http://id.worldcat.org/fast/815177
"Muḥammad,--Prophet,---632--Companions","","Muḥammad, Prophet, -632;Companions of the Prophet Muhammad",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1352525
"Muḥammad,--Prophet,---632--Devotional literature","","Muḥammad, Prophet, -632;Devotional literature",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/892015
"Nabi,--1641 or 1642-1712--Correspondence","","Nabi, 1641 or 1642-1712;Correspondence",http://id.worldcat.org/fast/1836668;http://id.worldcat.org/fast/2003288
"Nasafī, ʻUmar ibn Muḥammad,--1068?-1142.--ʻAqāʼid","","Nasafī, ʻUmar ibn Muḥammad, 1068?-1142;ʻAqāʼid (Nasafī, ʻUmar ibn Muḥammad)",http://id.worldcat.org/fast/42663;http://id.worldcat.org/fast/1381144
"Padmapādācārya,--active 8th century.--Pañcapādikā","",Pañcapādikā (Padmapādācārya),http://id.worldcat.org/fast/1372822
"Philip--II,--King of Spain,--1527-1598--Portraits","","Philip II, King of Spain, 1527-1598;Portraits",http://id.worldcat.org/fast/26669;http://id.worldcat.org/fast/1423831
"Porphyry,--approximately 234-approximately 305.--Isagoge","","Porphyry, approximately 234-approximately 305;Isagoge (Porphyry)",http://id.worldcat.org/fast/1802571;http://id.worldcat.org/fast/1356577
"Qazwīnī, ʻAlī ibn ʻUmar,--1203 or 1204-1276 or 1277.--Shamsīyah","","Qazwīnī, ʻAlī ibn ʻUmar, 1203 or 1204-1276 or 1277;Shamsīyah (Qazwīnī, ʻAlī ibn ʻUmar)",http://id.worldcat.org/fast/1842683;http://id.worldcat.org/fast/1916868
Rome (Italy).--Maestri delle Strade,"",Italy--Rome,http://id.worldcat.org/fast/1204500
"Rucellai, Cosimo","","",""
"Soderini, Giovanni di Luigi","","",""
"Sveti Nikola (Abbey : Šibenik, Croatia)","","",""
Śaṅkarācārya.--Laghuvākyavr̥tti,"",Śaṅkarācārya,http://id.worldcat.org/fast/38643
Śaṅkarācārya.--Śārīrakamīmāṃsābhāṣya,"",Śaṅkarācārya;Śārīrakamīmāṃsābhāṣya (Śaṅkarācārya),http://id.worldcat.org/fast/38643;http://id.worldcat.org/fast/1365134
"Taftāzānī, Masʻūd ibn ʻUmar,--1322-1389?--Sharḥ al-ʻAqāʾid al-Nasafīyah","","Taftāzānī, Masʻūd ibn ʻUmar, 1322-1389?;Sharḥ al-ʻAqāʼid al-Nasafīyah (Taftāzānī, Masʻūd ibn ʻUmar)",http://id.worldcat.org/fast/42667;http://id.worldcat.org/fast/1365468
"Ulugh Beg,--1394-1449.--Zīj-i jadīd-i Sultānī","","Ulugh Beg, 1394-1449;Zij-i jadid-i Sultani (Ulugh Beg)",http://id.worldcat.org/fast/146043;http://id.worldcat.org/fast/1796662
"Vettori, Jacopo","","",""
"Zurqānī, ʻAbd al-Bāqī ibn Yūsuf,--1611-1688.--Sharḥ Mukhtaṣar Khalīl","","",""
