name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",author,ابو الليث السمرقندي، نصر بن محمد، -983؟,"",human,Abou al-Layth As Samarqandî,Q938348
"Aditya Bahadur Dinha, Mahārāja",former owner,"","",human,Mahārāja Aditya Bahadur Dinha,Q114242454
"Aga Khan, Sadruddin, Prince, 1933-2003",former owner,"","",human,Prince Sadruddin Aga Khan,Q123987
Aḥmad ibn Mubārak Luṭf Allāh,former owner,احمد بن مبارك لطف الله،,"",human,Aḥmad ibn Mubārak Luṭf Allāh,Q114242455
"Akhaṇḍānanda, Muni",author,"","",human,Muni Akhaṇḍānanda,Q114242416
"Akhtarī, Muṣṭafá ibn Aḥmad, -1560 or 1561",author,اختري، مصطفى بن احمد,"",human,Ahterî,Q21600909
"Albertus, Magnus, Saint, 1193?-1280",author,"","",human,Albertus Magnus,Q60059
"Alleyn, James",former owner,"","",human,Sir James Alleyn,Q56063918
Aristotle,author,"","",human,Aristotle,Q868
"Arnaldus, de Villanova, d. 1311",author,"","",human,Arnaldus de Villa Nova,Q356568
"Auslin, Johan",former owner,"","",human,"Austin, Jehan",Q114075346
"Austin, Jehan",former owner,"","",human,"Austin, Jehan",Q114075346
"Bannānī, Muḥammad ibn Aḥmad ibn Ṣāliḥ",scribe,بناني، محمد احمد بن صالح,"",human,Muḥammad ibn Aḥmad ibn Ṣāliḥ Bannānī,Q114242430
"Bannānī, Muḥammad ibn al-Ḥasan, 1720 or 1721-1780",author,بناني، محمد بن الحسن، 1720 أو 1721-1780,"",human,Al-Bannani,Q16145863
"Barker-Benfield, B. C",former owner,"","",human,B.C. Barker-Benfield,Q113817294
Baudhāyana,author,"","",human,Baudhayana,Q3384944
"Beatty, A. Chester Sir, 1875-1968",former owner,"","",human,Alfred Chester Beatty,Q1387981
"Beck, Helmut, 1919-2001",former owner,"","",human,Helmut Beck,Q94821473
Bergendal Collection,former owner,"","",organization,Bergendal Collection,Q114236214
"Bigod, Roger, Earl of Norfolk, d. 1221",author,"","",human,"Roger Bigod, 2nd Earl of Norfolk",Q3438704
"Bilicich, Stephanus",scribe,"","",human,Stephanus Bilicich,Q113817442
"Birjandī, ʻAbd al-ʻAlī ibn Muḥammad ibn Ḥusayn, active 16th century",author,برجندي، عبد العلي بن محمد بن حسين، active 16th century,"",human,ʿAbd-al-ʿAlī Ibn-Muḥammad al Birǧandī,Q114413753
"Block, Gordon A., Jr., 1914-1973",former owner,"","",human,Gordon A. Block Junior,Q113817555
"Boccaccio, Giovanni, 1313-1375",author,"","",human,Giovanni Boccaccio,Q1402
"Boethius, -524",author,"","",human,Boethius,Q102851
"Bohn, John, 1757-1843",former owner,"","",human,John Bohn,Q113817588
"Bonfils, Immanuel ben Jacob, 14th cent",author,"","",human,Immanuel Bonfils,Q354517
"Bourelier, Claude",former owner,"","",human,Claude Bourelier,Q113817696
"Bourelier, Françoise",former owner,"","",human,Françoise Bourelier,Q113817723
